game_id,names,min_players,max_players,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,weight
174430,Gloomhaven,1,4,60,120,2017,8.98893,8.61858,15376,12,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers",25928,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Isaac Childres,3.7543
161936,Pandemic Legacy: Season 1,2,4,60,60,2015,8.6614,8.50163,26063,13,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",41605,"Environmental, Medical","Rob Daviau, Matt Leacock",2.821
182028,Through the Ages: A New Story of Civilization,2,4,180,240,2015,8.60673,8.30183,12352,14,"Action Point Allowance System, Auction/Bidding, Card Drafting",15848,"Card Game, Civilization, Economic",Vlaada Chvátil,4.3678
167791,Terraforming Mars,1,5,120,120,2016,8.38461,8.19914,26004,12,"Card Drafting, Hand Management, Set Collection, Tile Placement, Variable Player Powers",33340,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",Jacob Fryxelius,3.2456
12333,Twilight Struggle,2,2,120,180,2005,8.33954,8.19787,31301,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",42952,"Modern Warfare, Political, Wargame","Ananda Gupta, Jason Matthews",3.5518
187645,Star Wars: Rebellion,2,4,180,240,2016,8.47439,8.16545,13336,14,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Partnerships, Variable Player Powers",20682,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Corey Konieczka,3.6311
169786,Scythe,1,5,90,115,2016,8.29158,8.107999999999999,29219,14,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers",38279,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",Jamey Stegmaier,3.3609
120677,Terra Mystica,2,5,60,150,2012,8.23703,8.09296,29309,12,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers",32637,"Civilization, Economic, Fantasy, Territory Building","Jens Drögemüller, Helge Ostertag",3.9505
193738,Great Western Trail,2,4,75,150,2016,8.285739999999999,8.04047,13521,12,"Deck / Pool Building, Hand Management, Point to Point Movement",16869,American West,Alexander Pfister,3.7011
220308,Gaia Project,1,4,60,150,2017,8.68217,8.00732,4860,12,"Modular Board, Route/Network Building, Variable Player Powers",6243,"Civilization, Economic, Science Fiction, Territory Building","Jens Drögemüller, Helge Ostertag",4.2966
84876,The Castles of Burgundy,2,4,30,90,2011,8.12383,8.006789999999999,31613,12,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order",43992,"Dice, Medieval, Territory Building",Stefan Feld,3.0272
173346,7 Wonders Duel,2,2,30,30,2015,8.145589999999999,8.006269999999999,32165,10,"Card Drafting, Set Collection",49800,"Ancient, Card Game, City Building, Civilization","Antoine Bauza, Bruno Cathala",2.2307
